excluded_series,description,low_minus_high_income_pp
VC_DSR_CDAN,Number of damaged critical infrastructure attributed to disasters (number),7.14
VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),7.12
VC_HTF_DETVSX,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",6.95
VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",6.87
VC_PRR_ROBB,"Police reporting rate for robbery in the previous 12 months, by sex (%)",7.1
VC_PRS_UNSNT,Unsentenced detainees as a proportion of overall prison population (%),6.96
VC_SNS_WALN_DRK,Proportion of population that feel safe walking alone around the area they live after dark (%),7.07
VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",7.14
VC_VAW_MTUHRAN,"Countries with at least one verified case of killings of human rights defenders, journalists, and trade unionists (1 = YES, 0 = NO)",7.19
VC_VAW_NONMARR,Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months (%),7.15
VC_VAW_PHYPYV,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years),7.15
VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",7.17
VC_VOH_SXPH,"Proportion of persons victim of non-sexual or sexual harassment, in the previous 12 months (%)",7.13
VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",6.91
VC_VOV_ROBB,"Proportion of population subjected to robbery in the previous 12 months, by sex (%)",7.09
